<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
025_T76_C5_D176_VM3.txt	 1	 0.192151603914932	 0.581011	 0.001923	 427.754768
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
857	 1	 0.000000641	 0.124052375	 0.000062530  VM
1295	 1	 0.000000865	 0.167335675	 0.000084348  VM
807	 2	 0.000002807	 0.135817098	 0.000240163  VM
1516	 2	 0.000001681	 0.355370000	 0.000166447  FX
1296	 2	 0.000001982	 0.427720000	 0.000197013  FX
859	 1	 0.000001022	 0.197874562	 0.000099741  VM
855	 1	 0.000000708	 0.137051577	 0.000069083  VM
1382	 2	 0.000002588	 0.125206453	 0.000221401  VM
1331	 2	 0.000002553	 0.123535814	 0.000218447  VM
868	 3	 0.000002937	 0.328450000	 0.000266697  FX
1524	 1	 0.000001232	 0.495130000	 0.000141359  FX
756	 2	 0.000001812	 0.386980000	 0.000179802  FX
805	 2	 0.000002980	 0.144171523	 0.000254937  VM
863	 1	 0.000000670	 0.129587020	 0.000065320  VM
818	 1	 0.000000839	 0.162280657	 0.000081800  VM
809	 2	 0.000002389	 0.115583747	 0.000204385  VM
1427	 2	 0.000002407	 0.529700000	 0.000240097  FX
1323	 1	 0.000000653	 0.126314440	 0.000063671  VM
1414	 1	 0.000001462	 0.282913310	 0.000142606  VM
1577	 1	 0.000000929	 0.179791517	 0.000090626  VM
1421	 1	 0.000001513	 0.292780753	 0.000147580  VM
1294	 2	 0.000002684	 0.129863167	 0.000229635  VM
1558	 2	 0.000001915	 0.411490000	 0.000190157  FX
1334	 3	 0.000002895	 0.323420000	 0.000262862  FX
1357	 1	 0.000002156	 0.938670000	 0.000253375  FX
1543	 2	 0.000001474	 0.305700000	 0.000145463  FX
1608	 1	 0.000000983	 0.190321007	 0.000095934  VM
1628	 3	 0.000002316	 0.253940000	 0.000209896  FX
1532	 1	 0.000001212	 0.485530000	 0.000138934  FX
1622	 3	 0.000002491	 0.274860000	 0.000225844  FX
813	 2	 0.000003127	 0.151322345	 0.000267581  VM
1495	 3	 0.000002677	 0.297200000	 0.000242874  FX
1496	 1	 0.000001283	 0.248241367	 0.000125129  VM
35	 1	 0.000000855	 0.165517308	 0.000083431  VM
1602	 3	 0.000002492	 0.275070000	 0.000226004  FX
1535	 1	 0.000001229	 0.494110000	 0.000141101  FX
736	 1	 0.000001877	 0.805140000	 0.000219652  FX
1315	 2	 0.000003045	 0.147355340	 0.000260566  VM
1584	 2	 0.000003747	 0.181300812	 0.000320592  VM
1407	 1	 0.000001475	 0.285472729	 0.000143896  VM
1497	 1	 0.000001305	 0.252607482	 0.000127330  VM
1376	 2	 0.000002952	 0.660360000	 0.000295298  FX
1342	 2	 0.000002461	 0.542720000	 0.000245598  FX
1627	 3	 0.000002481	 0.273760000	 0.000225005  FX
1615	 3	 0.000002456	 0.270720000	 0.000222688  FX
1583	 1	 0.000000958	 0.185409787	 0.000093458  VM
1426	 1	 0.000002420	 1.065730000	 0.000285465  FX
25	 1	 0.000003007	 1.347140000	 0.000356535  FX
1383	 2	 0.000001375	 0.282040000	 0.000135467  FX
1401	 1	 0.000001883	 0.807870000	 0.000220342  FX
12621	 2	 0.000073609	 17.618193004	 0.007459550  FX
12622	 1	 0.000065005	 12.580741574	 0.006341496  VM
12608	 1	 0.000049622	 23.722393004	 0.006007445  FX
12613	 1	 0.000050561	 24.173183004	 0.006121293  FX
12631	 1	 0.000064726	 12.526780134	 0.006314296  VM
12616	 1	 0.000047333	 22.623583004	 0.005729939  FX
12612	 1	 0.000065289	 12.635774811	 0.006369236  VM
12627	 3	 0.000122770	 14.708343004	 0.011228775  FX
12624	 3	 0.000122790	 14.710823004	 0.011230666  FX
12623	 1	 0.000045249	 21.623423004	 0.005477347  FX
12625	 3	 0.000123135	 14.752133004	 0.011262157  FX
12610	 1	 0.000065338	 12.645304971	 0.006374040  VM
12609	 1	 0.000066127	 12.798033747	 0.006451025  VM
12626	 1	 0.000064727	 12.527051288	 0.006314432  VM
12618	 3	 0.000125126	 14.991143004	 0.011444359  FX
12615	 1	 0.000065004	 12.580547476	 0.006341398  VM
12630	 1	 0.000064692	 12.520216067	 0.006310987  VM
12614	 1	 0.000047081	 22.502873004	 0.005699453  FX
12628	 3	 0.000123584	 14.806063004	 0.011303269  FX
12617	 1	 0.000047159	 22.540313004	 0.005708909  FX
12607	 1	 0.000066344	 12.839954455	 0.006472155  VM
12629	 1	 0.000064711	 12.523860183	 0.006312824  VM
12611	 1	 0.000049165	 23.503043004	 0.005952048  FX
12620	 2	 0.000074095	 17.734873004	 0.007508844  FX
12619	 1	 0.000064979	 12.575713085	 0.006338961  VM
12632	 2	 0.000008408	 1.969880000	 0.000848537  FX
========================================================================
