<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
050_T151_C5_D347_VM3.txt	 1	 0.533688732016594	 6.375753	 0.021456	 1279.544190
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_Normalizado>
831	 2	 0.000002552	 0.123470878	 0.000052046  VM
1350	 2	 0.000002813	 0.136106488	 0.000057373  VM
822	 3	 0.000011997	 0.145118608	 0.000071405  VM
1301	 3	 0.000010770	 0.130277956	 0.000064103  VM
827	 1	 0.000000849	 0.164393454	 0.000066398  VM
805	 2	 0.000002934	 0.141950754	 0.000059836  VM
826	 2	 0.000002704	 0.130830106	 0.000055148  VM
872	 4	 0.000020172	 0.122006992	 0.000071504  VM
881	 4	 0.000020331	 0.122972486	 0.000072070  VM
1352	 1	 0.000001138	 0.220241064	 0.000088955  VM
1348	 3	 0.000010776	 0.130351234	 0.000064139  VM
1300	 1	 0.000000889	 0.172119359	 0.000069519  VM
1317	 4	 0.000024444	 0.147845688	 0.000086647  VM
39	 2	 0.000002689	 0.130124437	 0.000054851  VM
1314	 2	 0.000002738	 0.132473860	 0.000055841  VM
867	 1	 0.000000904	 0.174957580	 0.000070665  VM
1295	 3	 0.000013233	 0.160064343	 0.000078760  VM
1376	 2	 0.000002615	 0.126535215	 0.000053338  VM
738	 1	 0.000000859	 0.166205942	 0.000067130  VM
877	 1	 0.000000726	 0.140567229	 0.000056775  VM
823	 1	 0.000000891	 0.172361996	 0.000069617  VM
1343	 1	 0.000001120	 0.216703651	 0.000087526  VM
29	 4	 0.000022856	 0.138241019	 0.000081018  VM
1303	 3	 0.000002372	 0.260670000	 0.000106450  FX
1604	 5	 0.000008148	 0.238430000	 0.000104167  FX
1324	 4	 0.000021306	 0.128868240	 0.000075525  VM
1373	 1	 0.000000740	 0.143288627	 0.000057874  VM
1625	 4	 0.000003786	 0.215160000	 0.000089944  FX
871	 3	 0.000011996	 0.145098152	 0.000071395  VM
1371	 5	 0.000007695	 0.224860000	 0.000098251  FX
1613	 4	 0.000004509	 0.258560000	 0.000108041  FX
1327	 3	 0.000002334	 0.256080000	 0.000104580  FX
1379	 3	 0.000010987	 0.132897132	 0.000065392  VM
855	 1	 0.000000721	 0.139532283	 0.000056357  VM
1619	 4	 0.000004408	 0.252490000	 0.000105510  FX
38	 2	 0.000003480	 0.168365049	 0.000070970  VM
1364	 5	 0.000007989	 0.233680000	 0.000102096  FX
1608	 3	 0.000017943	 0.217036273	 0.000106792  VM
1596	 3	 0.000002491	 0.274930000	 0.000112261  FX
1378	 4	 0.000020926	 0.126568620	 0.000074177  VM
876	 3	 0.000011435	 0.138323389	 0.000068062  VM
1585	 5	 0.000008805	 0.258160000	 0.000112768  FX
1600	 3	 0.000017897	 0.216485004	 0.000106521  VM
1580	 3	 0.000002395	 0.263390000	 0.000107559  FX
1639	 3	 0.000017774	 0.214988288	 0.000105785  VM
40	 2	 0.000002852	 0.138012426	 0.000058176  VM
1501	 1	 0.000001357	 0.262576549	 0.000106054  VM
1502	 2	 0.000005473	 0.264813794	 0.000111626  VM
30	 1	 0.000000890	 0.172289815	 0.000069587  VM
1586	 2	 0.000004333	 0.209675760	 0.000088384  VM
1499	 1	 0.000001399	 0.270703481	 0.000109336  VM
1610	 1	 0.000001190	 0.230233497	 0.000092991  VM
1304	 3	 0.000011337	 0.137130007	 0.000067475  VM
862	 4	 0.000019874	 0.120207733	 0.000070450  VM
817	 5	 0.000006856	 0.199680000	 0.000087275  FX
853	 4	 0.000018368	 0.111098722	 0.000065111  VM
803	 4	 0.000004387	 0.251190000	 0.000104968  FX
1505	 4	 0.000004896	 0.281770000	 0.000117719  FX
1504	 3	 0.000002636	 0.292300000	 0.000119339  FX
812	 2	 0.000002834	 0.137142306	 0.000057809  VM
1418	 2	 0.000005773	 0.279353050	 0.000117755  VM
1577	 4	 0.000004447	 0.254830000	 0.000106486  FX
821	 5	 0.000008395	 0.245850000	 0.000107402  FX
1399	 5	 0.000007646	 0.223390000	 0.000097611  FX
1503	 3	 0.000002719	 0.302240000	 0.000123390  FX
1302	 4	 0.000004480	 0.256790000	 0.000107303  FX
1403	 5	 0.000007295	 0.212840000	 0.000093011  FX
1298	 3	 0.000010551	 0.127620698	 0.000062796  VM
1572	 5	 0.000009600	 0.281990000	 0.000123156  FX
1332	 3	 0.000009910	 0.119869104	 0.000058981  VM
1590	 2	 0.000001324	 0.269730000	 0.000108864  FX
1515	 1	 0.000001369	 0.264925979	 0.000107003  VM
1434	 5	 0.000007922	 0.231670000	 0.000101220  FX
1551	 4	 0.000005060	 0.291620000	 0.000121826  FX
1518	 2	 0.000005377	 0.260170012	 0.000109669  VM
1424	 1	 0.000001381	 0.267207282	 0.000107924  VM
1549	 4	 0.000005162	 0.297720000	 0.000124370  FX
873	 1	 0.000000729	 0.141091959	 0.000056987  VM
1635	 2	 0.000001412	 0.290900000	 0.000117390  FX
28	 2	 0.000005917	 0.286319035	 0.000120691  VM
1592	 4	 0.000035201	 0.212907392	 0.000124778  VM
1391	 5	 0.000006771	 0.197140000	 0.000086167  FX
758	 1	 0.000000703	 0.135962192	 0.000054915  VM
1565	 4	 0.000005221	 0.301260000	 0.000125846  FX
1496	 4	 0.000005448	 0.314900000	 0.000131534  FX
1553	 2	 0.000005771	 0.279224501	 0.000117701  VM
1525	 4	 0.000005157	 0.297400000	 0.000124236  FX
1533	 2	 0.000001485	 0.308400000	 0.000124439  FX
1544	 3	 0.000022322	 0.270007536	 0.000132857  VM
1412	 2	 0.000001567	 0.328020000	 0.000132341  FX
1389	 5	 0.000008196	 0.239870000	 0.000104795  FX
1409	 4	 0.000004501	 0.258070000	 0.000107837  FX
1574	 3	 0.000002411	 0.265370000	 0.000108365  FX
1385	 4	 0.000004997	 0.287820000	 0.000120242  FX
1528	 4	 0.000005267	 0.304010000	 0.000126993  FX
1395	 1	 0.000001741	 0.336876251	 0.000136063  VM
1438	 1	 0.000001437	 0.278116479	 0.000112331  VM
1407	 5	 0.000010295	 0.302840000	 0.000132245  FX
1579	 2	 0.000004665	 0.225713568	 0.000095144  VM
1384	 4	 0.000007169	 0.418120000	 0.000174574  FX
15417	 2	 0.000505310	 24.450101860	 0.010306371  VM
15432	 2	 0.000504079	 24.390506500	 0.010281250  VM
15414	 1	 0.000129220	 25.008765562	 0.010100979  VM
15422	 1	 0.000127025	 24.583818923	 0.009929345  VM
15433	 1	 0.000127011	 24.581098717	 0.009928246  VM
15412	 2	 0.000509058	 24.631419942	 0.010382802  VM
15448	 5	 0.000854637	 25.633056557	 0.011174524  FX
15460	 1	 0.000126464	 24.475271639	 0.009885503  VM
15418	 2	 0.000505099	 24.439894071	 0.010302068  VM
15439	 2	 0.000504129	 24.392925044	 0.010282270  VM
15428	 5	 0.000859273	 25.772146557	 0.011235157  FX
15456	 5	 0.000853049	 25.585416557	 0.011153756  FX
15419	 2	 0.000505443	 24.456531593	 0.010309081  VM
15431	 5	 0.000858270	 25.742056557	 0.011222040  FX
15451	 4	 0.000444474	 26.656416557	 0.011115338  FX
15434	 4	 0.000448210	 26.880536557	 0.011208791  FX
15429	 1	 0.000127007	 24.580351251	 0.009927944  VM
15425	 1	 0.000127044	 24.587487875	 0.009930826  VM
15458	 5	 0.000852563	 25.570846557	 0.011147404  FX
15437	 1	 0.000126955	 24.570399318	 0.009923924  VM
15461	 1	 0.000126523	 24.486659639	 0.009890102  VM
15421	 1	 0.000127697	 24.714031896	 0.009981937  VM
15459	 1	 0.000125943	 24.374538207	 0.009844817  VM
15438	 2	 0.000503847	 24.379317918	 0.010276534  VM
15444	 1	 0.000126462	 24.474854160	 0.009885334  VM
15452	 5	 0.000852996	 25.583836557	 0.011153067  FX
15423	 5	 0.000859257	 25.771666557	 0.011234948  FX
15420	 1	 0.000127540	 24.683483388	 0.009969599  VM
15427	 1	 0.000127021	 24.583189831	 0.009929090  VM
15445	 2	 0.000502924	 24.334625127	 0.010257695  VM
15440	 4	 0.000448725	 26.911466557	 0.011221688  FX
15449	 4	 0.000445332	 26.707876557	 0.011136795  FX
15424	 1	 0.000127011	 24.581247075	 0.009928306  VM
15457	 4	 0.000445886	 26.741106557	 0.011150652  FX
15450	 2	 0.000503145	 24.345326944	 0.010262206  VM
15435	 2	 0.000503976	 24.385557139	 0.010279164  VM
15436	 2	 0.000504154	 24.394164868	 0.010282792  VM
15443	 1	 0.000127016	 24.582089889	 0.009928646  VM
15453	 4	 0.000444005	 26.628256557	 0.011103596  FX
15442	 5	 0.000858898	 25.760886557	 0.011230249  FX
15447	 4	 0.000444369	 26.650076557	 0.011112694  FX
15430	 4	 0.000450664	 27.027776557	 0.011270186  FX
15413	 2	 0.000506703	 24.517502375	 0.010334782  VM
15441	 1	 0.000127024	 24.583645832	 0.009929275  VM
15426	 4	 0.000450489	 27.017286557	 0.011265812  FX
15446	 2	 0.000502951	 24.335941787	 0.010258250  VM
15454	 1	 0.000126552	 24.492338274	 0.009892396  VM
15416	 2	 0.000505414	 24.455130609	 0.010308491  VM
15415	 1	 0.000127592	 24.693690013	 0.009973721  VM
15455	 2	 0.000502902	 24.333591007	 0.010257259  VM
15462	 4	 0.000042254	 2.523220000	 0.001052352  FX
========================================================================
