<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
015_T46_C5_D108_VM3.txt	 1	 -1718352444396099521591087274278031652407199278302380875823181316096128161484810223616.000000000000000	 14.017534	 0.000406	 -9097608915636896446418189845921593795779198216415175078254130305269117149674350812594176.000000
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
736	 1	 0.000002336	 1.025040000	 0.000692824  FX
1333	 5	 0.000000000	 -1106333486090038362605045387210926917402581600616169046344965690841297714023220299956224.000000000	 -208963791230081380368912746845941752189437765866314700905925360395168833522699862016.000000000  VM
752	 5	 0.000000000	 -3497937357692305792378876175715159979854819574494068519652637852497191876635427333996544.000000000	 -660688898003065891119898889226797156927820007396083123458867078326336926805261287424.000000000  VM
38	 1	 0.000002345	 1.029700000	 0.000000000  FX
1543	 1	 0.000001270	 0.513680000	 0.000000000  FX
1424	 1	 0.000001199	 0.479370000	 0.000000000  FX
28	 2	 0.000003687	 0.836770000	 0.000946050  FX
1613	 1	 0.000001089	 0.426620000	 0.000000000  FX
1412	 2	 0.000001549	 0.323820000	 0.000000000  FX
1534	 5	 0.000000165	 0.007741942	 0.000036628  VM
1368	 5	 0.000000074	 0.003463882	 0.000016388  VM
756	 5	 0.000000000	 -4493338071854551849722502088399424502697421855575308555385552543025888028614152855486464.000000000	 -848699755162952277062222305355932537956956592059613725095533299915194882260459323392.000000000  VM
1342	 1	 0.000002239	 0.978660000	 0.000000000  FX
732	 1	 0.000001445	 0.597630000	 0.000000000  FX
824	 1	 0.000001873	 0.803190000	 0.000000000  FX
874	 1	 0.000001191	 0.475900000	 0.000000000  FX
1351	 5	 0.000000080	 0.003783848	 0.000017902  VM
1631	 1	 0.000001072	 0.418580000	 0.000000000  FX
1625	 5	 0.000000098	 0.004617302	 0.000021845  VM
1621	 2	 0.000001430	 0.295260000	 0.000000000  FX
1585	 1	 0.000001015	 0.391250000	 0.000000000  FX
1435	 5	 0.000000160	 0.007518080	 0.000035569  VM
30	 1	 0.000002542	 1.124340000	 0.000000000  FX
1552	 1	 0.000001282	 0.519280000	 0.000000000  FX
1384	 5	 0.000000072	 0.003393412	 0.000016054  VM
1569	 1	 0.000001230	 0.494560000	 0.000000000  FX
40	 5	 0.000000077	 0.003641039	 0.000017226  VM
1430	 1	 0.000001660	 0.700710000	 0.000000000  FX
1636	 5	 0.000000137	 0.006468432	 0.000030603  VM
1420	 5	 0.000000258	 0.012163919	 0.000057548  VM
7008	 5	 0.000005130	 0.241408948	 0.001142124  VM
7006	 2	 0.000045789	 10.941337913	 0.000000000  FX
7010	 5	 0.000005132	 0.241495673	 0.001142534  VM
7009	 5	 0.000005130	 0.241408474	 0.001142121  VM
7005	 5	 0.000005126	 0.241209963	 0.001141182  VM
7002	 2	 0.000049932	 11.935657913	 0.000000000  FX
7014	 5	 0.000005128	 0.241338626	 0.001141791  VM
7012	 2	 0.000043865	 10.479517913	 0.000000000  FX
7007	 2	 0.000046085	 11.012487913	 0.000000000  FX
7013	 2	 0.000045118	 10.780207913	 0.000000000  FX
7004	 2	 0.000045948	 10.979417913	 0.000000000  FX
7000	 2	 0.000051237	 12.248737913	 0.000000000  FX
