<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
002_T7_C5_D16_VM3.txt	 1	 0.010661231496439	 0.071176	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
29	 5	 0.000000162	 0.007636514	 0.000869121  VM
39	 5	 0.000000073	 0.003423477	 0.000389630  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
1575	 5	 0.000000125	 0.005859977	 0.000666931  VM
11756	 5	 0.000000854	 0.040181464	 0.004573101  VM
11757	 5	 0.000000777	 0.036573283	 0.004162449  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 2	 0.010661231496439	 0.073095	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
39	 5	 0.000000073	 0.003423477	 0.000389630  VM
1575	 5	 0.000000125	 0.005859977	 0.000666931  VM
29	 5	 0.000000162	 0.007636514	 0.000869121  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
11757	 5	 0.000000777	 0.036573283	 0.004162449  VM
11756	 5	 0.000000854	 0.040181464	 0.004573101  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 3	 0.010661231496439	 0.071376	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
39	 5	 0.000000073	 0.003423477	 0.000389630  VM
1575	 5	 0.000000125	 0.005859977	 0.000666931  VM
29	 5	 0.000000162	 0.007636514	 0.000869121  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
11756	 5	 0.000000854	 0.040181464	 0.004573101  VM
11757	 5	 0.000000777	 0.036573283	 0.004162449  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 4	 0.010661231496439	 0.070535	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
39	 5	 0.000000073	 0.003423477	 0.000389630  VM
1575	 5	 0.000000125	 0.005859977	 0.000666931  VM
29	 5	 0.000000162	 0.007636514	 0.000869121  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
11756	 5	 0.000000854	 0.040181464	 0.004573101  VM
11757	 5	 0.000000777	 0.036573283	 0.004162449  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 5	 0.010661231496439	 0.072111	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
39	 5	 0.000000073	 0.003423477	 0.000389630  VM
29	 5	 0.000000162	 0.007636514	 0.000869121  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
1575	 5	 0.000000125	 0.005859977	 0.000666931  VM
11757	 5	 0.000000777	 0.036573283	 0.004162449  VM
11756	 5	 0.000000854	 0.040181464	 0.004573101  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 6	 0.010661231496439	 0.074707	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
29	 5	 0.000000162	 0.007636514	 0.000869121  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
39	 5	 0.000000073	 0.003423477	 0.000389630  VM
1575	 5	 0.000000125	 0.005859977	 0.000666931  VM
11756	 5	 0.000000854	 0.040181464	 0.004573101  VM
11757	 5	 0.000000777	 0.036573283	 0.004162449  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 7	 0.010661231496439	 0.071519	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
39	 5	 0.000000073	 0.003423477	 0.000389630  VM
1575	 5	 0.000000125	 0.005859977	 0.000666931  VM
29	 5	 0.000000162	 0.007636514	 0.000869121  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
11757	 5	 0.000000777	 0.036573283	 0.004162449  VM
11756	 5	 0.000000854	 0.040181464	 0.004573101  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 8	 0.010661231496439	 0.071613	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
39	 5	 0.000000073	 0.003423477	 0.000389630  VM
1575	 5	 0.000000125	 0.005859977	 0.000666931  VM
29	 5	 0.000000162	 0.007636514	 0.000869121  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
11756	 5	 0.000000854	 0.040181464	 0.004573101  VM
11757	 5	 0.000000777	 0.036573283	 0.004162449  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 9	 0.010661231496439	 0.073241	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
39	 5	 0.000000073	 0.003423477	 0.000389630  VM
1575	 5	 0.000000125	 0.005859977	 0.000666931  VM
29	 5	 0.000000162	 0.007636514	 0.000869121  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
11757	 5	 0.000000777	 0.036573283	 0.004162449  VM
11756	 5	 0.000000854	 0.040181464	 0.004573101  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
002_T7_C5_D16_VM3.txt	 10	 0.010661231496439	 0.072357	 0.000006	 1.675945
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
39	 5	 0.000000073	 0.003423477	 0.000389630  VM
29	 5	 0.000000162	 0.007636514	 0.000869121  VM
1374	 1	 0.000002057	 0.891520000	 0.000000000  FX
1575	 5	 0.000000125	 0.005859977	 0.000666931  VM
11757	 5	 0.000000777	 0.036573283	 0.004162449  VM
11756	 5	 0.000000854	 0.040181464	 0.004573101  VM
11758	 1	 0.000001639	 0.690750000	 0.000000000  FX
========================================================================
