<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
040_T121_C5_D275_VM3.txt	 1	 0.426984435052007	 2.693577	 0.005701	 989.497188
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
814	 1	 0.000000586	 0.113455598	 0.000047753  VM
1369	 1	 0.000000734	 0.142147583	 0.000059830  VM
1356	 3	 0.000002717	 0.302080000	 0.000147785  FX
866	 2	 0.000002802	 0.135567487	 0.000094562  VM
1335	 3	 0.000002179	 0.237500000	 0.000116954  FX
1329	 2	 0.000002241	 0.108453427	 0.000075649  VM
1393	 1	 0.000000676	 0.130866746	 0.000055082  VM
817	 1	 0.000000961	 0.365050000	 0.000137129  FX
1588	 2	 0.000004145	 0.200554921	 0.000139892  VM
1310	 3	 0.000002972	 0.332610000	 0.000162360  FX
1593	 1	 0.000001122	 0.217167269	 0.000091406  VM
1315	 3	 0.000002260	 0.247240000	 0.000121604  FX
1390	 4	 0.000004333	 0.247990000	 0.000158844  FX
1322	 1	 0.000000689	 0.133367988	 0.000056134  VM
860	 1	 0.000000709	 0.137176452	 0.000057737  VM
1387	 2	 0.000001511	 0.314520000	 0.000130336  FX
1606	 2	 0.000004213	 0.203845297	 0.000142187  VM
828	 1	 0.000000643	 0.124437927	 0.000052376  VM
1375	 2	 0.000002978	 0.144117830	 0.000100526  VM
1333	 1	 0.000000726	 0.140525012	 0.000059147  VM
1513	 1	 0.000001326	 0.256563405	 0.000107987  VM
1591	 2	 0.000004129	 0.199778863	 0.000139351  VM
1503	 2	 0.000001552	 0.324410000	 0.000134322  FX
854	 2	 0.000001837	 0.392970000	 0.000161955  FX
1372	 2	 0.000001772	 0.377390000	 0.000155675  FX
1320	 3	 0.000002437	 0.268480000	 0.000131744  FX
811	 1	 0.000000764	 0.147842991	 0.000062227  VM
1511	 2	 0.000001603	 0.336720000	 0.000139283  FX
1640	 2	 0.000001415	 0.291560000	 0.000121082  FX
1326	 3	 0.000002669	 0.296250000	 0.000145002  FX
1570	 3	 0.000002962	 0.331450000	 0.000161806  FX
1536	 3	 0.000002771	 0.308520000	 0.000150860  FX
1576	 1	 0.000001049	 0.203026944	 0.000085454  VM
878	 1	 0.000000706	 0.136706267	 0.000057540  VM
1303	 4	 0.000004050	 0.230970000	 0.000148187  FX
1527	 1	 0.000001249	 0.241631326	 0.000101702  VM
1341	 2	 0.000001589	 0.333430000	 0.000137957  FX
1620	 1	 0.000001063	 0.414110000	 0.000155078  FX
864	 3	 0.000003153	 0.354320000	 0.000172725  FX
1557	 1	 0.000001338	 0.258980668	 0.000109005  VM
804	 2	 0.000002607	 0.126153486	 0.000087995  VM
1302	 3	 0.000003155	 0.354650000	 0.000172882  FX
1530	 3	 0.000002801	 0.312130000	 0.000152583  FX
1628	 1	 0.000001069	 0.417290000	 0.000156241  FX
1521	 3	 0.000002682	 0.297880000	 0.000145780  FX
739	 1	 0.000000822	 0.159029710	 0.000066935  VM
1312	 3	 0.000002638	 0.292560000	 0.000143240  FX
1595	 4	 0.000004616	 0.264950000	 0.000169463  FX
1392	 2	 0.000003044	 0.147290460	 0.000102739  VM
1504	 2	 0.000001515	 0.315680000	 0.000130803  FX
816	 3	 0.000002929	 0.327530000	 0.000159935  FX
1370	 2	 0.000003904	 0.188889783	 0.000131755  VM
1534	 1	 0.000001259	 0.243754723	 0.000102596  VM
1607	 1	 0.000001305	 0.252560670	 0.000106303  VM
1623	 2	 0.000001435	 0.296460000	 0.000123057  FX
1573	 1	 0.000001046	 0.202368693	 0.000085177  VM
1624	 3	 0.000002451	 0.270110000	 0.000132522  FX
867	 3	 0.000003236	 0.364280000	 0.000177480  FX
1321	 4	 0.000004835	 0.278120000	 0.000177709  FX
810	 1	 0.000000902	 0.174569615	 0.000073476  VM
861	 3	 0.000003211	 0.361350000	 0.000176081  FX
1523	 2	 0.000001682	 0.355730000	 0.000146945  FX
1571	 3	 0.000002709	 0.301030000	 0.000147284  FX
1594	 3	 0.000002350	 0.258040000	 0.000126760  FX
1429	 3	 0.000003596	 0.407560000	 0.000198142  FX
