<Instância> 	 <Custo_Financeiro_Melhor> 	 <Tempo_Melhor> 	 <Custo_Normalizado_Melhor> 	 <Custo_Normalizado_Médio> 	 <Tempo_CPU_Médio>
002_T7_C5_D14_VM3.txt	 0.000031	 1.535434	 0.000077	 0.000077	 0.026159
002_T7_C5_D16_VM3.txt	 0.000038	 1.464506	 0.000073	 0.000073	 0.027079
002_T7_C5_D18_VM3.txt	 0.000027	 1.803377	 0.000090	 0.000090	 0.029395
005_T16_C5_D35_VM3.txt	 0.000080	 3.621202	 0.000181	 0.000183	 0.240572
005_T16_C5_D38_VM3.txt	 0.000092	 3.863314	 0.000193	 0.000196	 0.258156
010_T31_C5_D70_VM3.txt	 0.000234	 9.401776	 0.000470	 0.000482	 1.662043
010_T31_C5_D71_VM3.txt	 0.000212	 9.292675	 0.000465	 0.000477	 1.676675
015_T46_C5_D105_VM3.txt	 0.000407	 17.834584	 0.000892	 0.000929	 5.728136
015_T46_C5_D108_VM3.txt	 0.000411	 17.713827	 0.000886	 0.000918	 5.765709
015_T46_C5_D140_VM3.txt	 0.000694	 27.043254	 0.001352	 0.001454	 8.456488
020_T61_C5_D138_VM3.txt	 0.000593	 27.277680	 0.001364	 0.001410	 14.413245
020_T61_C5_D145_VM3.txt	 0.000691	 29.708007	 0.001485	 0.001539	 15.110875
020_T61_C5_D180_VM3.txt	 0.001125	 46.206928	 0.002310	 0.002416	 22.710178
025_T76_C5_D171_VM3.txt	 0.000791	 38.686443	 0.001934	 0.002053	 29.666718
025_T76_C5_D176_VM3.txt	 0.000887	 42.233507	 0.002112	 0.002209	 30.761595
025_T76_C5_D220_VM3.txt	 0.001368	 63.101869	 0.003155	 0.003385	 45.628823
030_T91_C5_D209_VM3.txt	 0.001169	 53.313673	 0.002666	 0.002794	 57.588465
030_T91_C5_D212_VM3.txt	 0.001122	 55.679805	 0.002784	 0.002869	 57.830091
035_T106_C5_D240_VM3.txt	 0.001580	 72.638322	 0.003632	 0.003869	 94.239422
035_T106_C5_D253_VM3.txt	 0.001664	 80.165645	 0.004008	 0.004282	 101.110815
035_T106_C5_D300_VM3.txt	 0.002656	 119.888863	 0.005994	 0.006298	 141.575106
040_T121_C5_D275_VM3.txt	 0.001873	 94.691204	 0.004735	 0.004840	 152.362780
040_T121_C5_D340_VM3.txt	 0.003350	 155.542106	 0.007777	 0.008043	 238.908008
045_T136_C5_D311_VM3.txt	 0.002495	 120.124218	 0.006006	 0.006134	 229.908391
045_T136_C5_D314_VM3.txt	 0.002576	 125.347592	 0.006267	 0.006423	 240.867392
045_T136_C5_D376_VM3.txt	 0.003634	 175.080399	 0.008754	 0.009109	 353.614515
050_T151_C5_D355_VM3.txt	 0.003193	 156.655906	 0.007833	 0.008100	 369.189439
050_T151_C5_D411_VM3.txt	 0.004005	 204.254453	 0.010213	 0.010614	 506.886562
