<Instância> 	 <Melhor_Custo> 	 <Custo_Médio> 	 <Tempo_CPU_Médio>
002_T7_C5_D14_VM3.txt	 0.001279	 0.001279	 0.026341
002_T7_C5_D16_VM3.txt	 0.001301	 0.001301	 0.026952
002_T7_C5_D18_VM3.txt	 0.001300	 0.001300	 0.028041
005_T16_C5_D35_VM3.txt	 0.002936	 0.002959	 0.234298
005_T16_C5_D38_VM3.txt	 0.003138	 0.003162	 0.245777
010_T31_C5_D70_VM3.txt	 0.007690	 0.007995	 1.604556
010_T31_C5_D71_VM3.txt	 0.007718	 0.007979	 1.634483
015_T46_C5_D105_VM3.txt	 0.015252	 0.015786	 5.652791
015_T46_C5_D108_VM3.txt	 0.015042	 0.015668	 5.790217
015_T46_C5_D140_VM3.txt	 0.022040	 0.024235	 8.823439
020_T61_C5_D138_VM3.txt	 0.023158	 0.024166	 14.379968
020_T61_C5_D145_VM3.txt	 0.025353	 0.026701	 15.503597
020_T61_C5_D180_VM3.txt	 0.040161	 0.042021	 21.109890
025_T76_C5_D171_VM3.txt	 0.033503	 0.035804	 30.124961
025_T76_C5_D176_VM3.txt	 0.036872	 0.038816	 31.524602
025_T76_C5_D220_VM3.txt	 0.054799	 0.059147	 44.203140
030_T91_C5_D209_VM3.txt	 0.046595	 0.048927	 58.023297
030_T91_C5_D212_VM3.txt	 0.048392	 0.050146	 58.803983
035_T106_C5_D240_VM3.txt	 0.064271	 0.068746	 97.908778
035_T106_C5_D253_VM3.txt	 0.071071	 0.075879	 106.192092
035_T106_C5_D300_VM3.txt	 0.107062	 0.112696	 146.784265
040_T121_C5_D275_VM3.txt	 0.084383	 0.086340	 158.358717
040_T121_C5_D340_VM3.txt	 0.140058	 0.145178	 238.281261
045_T136_C5_D311_VM3.txt	 0.107561	 0.110228	 249.757504
045_T136_C5_D314_VM3.txt	 0.113152	 0.115758	 259.859170
045_T136_C5_D376_VM3.txt	 0.157612	 0.164746	 356.709532
050_T151_C5_D355_VM3.txt	 0.141595	 0.146100	 383.947850
050_T151_C5_D411_VM3.txt	 0.184415	 0.192231	 512.594578
