<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
010_T31_C5_D71_VM3.txt	 1	 0.510596573352814	 0.040036	 0.001015	 57.375263
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1359	 2	 0.000002218	 0.107341952	 0.000963237  VM
1381	 2	 0.000002694	 0.130346525	 0.001169669  VM
1354	 4	 0.000020435	 0.123596243	 0.001555054  VM
1291	 4	 0.000018371	 0.111115902	 0.001398030  VM
814	 1	 0.000000939	 0.181744141	 0.001560626  VM
1369	 3	 0.000009720	 0.117578088	 0.001236926  VM
1292	 1	 0.000000615	 0.118932040	 0.001021262  VM
1560	 1	 0.000001232	 0.238423703	 0.002047330  VM
1570	 1	 0.000001222	 0.236450984	 0.002030391  VM
1582	 3	 0.000002317	 0.254080000	 0.002206824  FX
1618	 1	 0.000000986	 0.190753343	 0.001637988  VM
1492	 1	 0.000001148	 0.222177260	 0.001907823  VM
1555	 2	 0.000004836	 0.233997745	 0.002099787  VM
864	 2	 0.000002725	 0.131872045	 0.001183358  VM
751	 2	 0.000002829	 0.136869592	 0.001228204  VM
1417	 3	 0.000002136	 0.232370000	 0.002018687  FX
1493	 2	 0.000004974	 0.240690575	 0.002159845  VM
1612	 1	 0.000000954	 0.184676697	 0.001585808  VM
731	 1	 0.000001231	 0.238258712	 0.002045913  VM
1411	 4	 0.000004108	 0.234470000	 0.002085619  FX
11893	 2	 0.000103593	 5.012482709	 0.044979687  VM
11892	 4	 0.000093121	 5.575275325	 0.049478649  FX
11887	 2	 0.000105704	 5.114632734	 0.045896334  VM
11891	 4	 0.000093897	 5.621815325	 0.049891634  FX
11890	 4	 0.000093292	 5.585535325	 0.049569694  FX
11895	 2	 0.000103550	 5.010390668	 0.044960914  VM
11894	 1	 0.000025983	 5.028658130	 0.043180790  VM
11896	 4	 0.000092340	 5.528365325	 0.049062381  FX
11889	 2	 0.000103523	 5.009086714	 0.044949213  VM
11888	 4	 0.000093856	 5.619345325	 0.049869716  FX
11897	 5	 0.000020331	 0.603930000	 0.005615168  FX
========================================================================
020_T61_C5_D145_VM3.txt	 1	 0.499700009822845	 0.310587	 0.003640	 228.776574
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
24	 2	 0.000002294	 0.110997942	 0.000245763  VM
1328	 2	 0.000002533	 0.122569032	 0.000271382  VM
1388	 4	 0.000019774	 0.119603122	 0.000373542  VM
1325	 2	 0.000003163	 0.153063058	 0.000338900  VM
866	 4	 0.000018203	 0.110101576	 0.000343867  VM
1342	 3	 0.000009452	 0.114325787	 0.000297675  VM
731	 2	 0.000002465	 0.119251265	 0.000264036  VM
1597	 1	 0.000001101	 0.213073970	 0.000451018  VM
826	 4	 0.000022697	 0.137278719	 0.000428746  VM
1618	 4	 0.000004409	 0.252510000	 0.000553996  FX
1329	 3	 0.000010848	 0.131212345	 0.000341644  VM
1359	 4	 0.000019592	 0.118499928	 0.000370096  VM
1621	 4	 0.000004492	 0.257540000	 0.000565007  FX
40	 2	 0.000002447	 0.118419691	 0.000262195  VM
1323	 2	 0.000002502	 0.121081974	 0.000268090  VM
1623	 2	 0.000004299	 0.208036520	 0.000460617  VM
1502	 1	 0.000001324	 0.256265405	 0.000542442  VM
1301	 2	 0.000002376	 0.114945249	 0.000254502  VM
751	 2	 0.000003518	 0.170207099	 0.000376859  VM
38	 3	 0.000009681	 0.117095825	 0.000304888  VM
1524	 1	 0.000001304	 0.252329383	 0.000534110  VM
28	 2	 0.000005446	 0.263502685	 0.000583426  VM
1560	 1	 0.000001365	 0.264210222	 0.000559259  VM
1614	 2	 0.000001436	 0.296620000	 0.000627253  FX
1600	 2	 0.000005744	 0.277930775	 0.000615371  VM
1399	 5	 0.000008083	 0.236500000	 0.000543720  FX
816	 3	 0.000009866	 0.119335105	 0.000310718  VM
1530	 2	 0.000005349	 0.258841033	 0.000573105  VM
1589	 1	 0.000001095	 0.211969795	 0.000448680  VM
30	 5	 0.000008976	 0.263290000	 0.000605168  FX
1396	 5	 0.000010059	 0.295770000	 0.000679668  FX
1529	 3	 0.000002731	 0.303720000	 0.000650189  FX
876	 1	 0.000000855	 0.165515012	 0.000350349  VM
34	 2	 0.000002888	 0.139730334	 0.000309379  VM
1543	 3	 0.000002745	 0.305410000	 0.000653800  FX
1526	 2	 0.000005302	 0.256566051	 0.000568067  VM
1422	 3	 0.000021208	 0.256532724	 0.000667946  VM
1420	 5	 0.000010524	 0.309730000	 0.000711688  FX
1413	 4	 0.000005612	 0.324690000	 0.000711997  FX
1417	 3	 0.000002115	 0.229750000	 0.000492144  FX
12295	 1	 0.000055324	 10.707115592	 0.022663946  VM
12297	 5	 0.000374963	 11.242864271	 0.025789143  FX
12300	 4	 0.000191959	 11.505514271	 0.025186603  FX
12302	 4	 0.000192129	 11.515734271	 0.025208975  FX
12308	 4	 0.000190124	 11.395434271	 0.024945640  FX
12307	 1	 0.000054633	 10.573531292	 0.022381186  VM
12310	 4	 0.000190249	 11.402934271	 0.024962058  FX
12303	 5	 0.000374835	 11.239024271	 0.025780335  FX
12292	 1	 0.000055944	 10.827124411	 0.022917971  VM
12304	 2	 0.000217499	 10.523989601	 0.023301352  VM
12301	 4	 0.000192604	 11.544234271	 0.025271361  FX
12298	 2	 0.000217576	 10.527725731	 0.023309624  VM
12294	 1	 0.000055283	 10.699295127	 0.022647393  VM
12293	 1	 0.000055763	 10.792119535	 0.022843876  VM
12306	 2	 0.000217102	 10.504784560	 0.023258830  VM
12311	 1	 0.000054680	 10.582527694	 0.022400229  VM
12299	 2	 0.000217492	 10.523660171	 0.023300623  VM
12296	 4	 0.000193854	 11.619224271	 0.025435512  FX
12309	 4	 0.000190119	 11.395134271	 0.024944984  FX
12305	 1	 0.000054581	 10.563410242	 0.022359763  VM
12312	 5	 0.000033306	 0.993170000	 0.002279302  FX
========================================================================
