<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
002_T7_C5_D18_VM3.txt	 1	 0.488206893205643	 0.151978	 0.000030	 4.247806
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1	 1	 0.000001108	 0.214443322	 0.024432505  VM
2	 2	 0.000001492	 0.144391020	 0.016856242  VM
9	 3	 0.000006323	 0.305914694	 0.037429401  VM
10	 1	 0.000002306	 0.446277720	 0.050846454  VM
11	 1	 0.000007834	 1.516072067	 0.172732998  VM
12	 1	 0.000007426	 1.437177147	 0.163744141  VM
13	 4	 0.000003259	 0.183530000	 0.022165154  FX
========================================================================
002_T7_C5_D18_VM3.txt	 2	 0.488283902406693	 0.149514	 0.000030	 4.247806
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 1	 0.000000746	 0.144391020	 0.016451127  VM
1	 3	 0.000004432	 0.214443322	 0.026237658  VM
9	 1	 0.000001581	 0.305914694	 0.034854255  VM
10	 2	 0.000004612	 0.446277720	 0.052098567  VM
11	 1	 0.000007834	 1.516072067	 0.172732998  VM
12	 1	 0.000007426	 1.437177147	 0.163744141  VM
13	 4	 0.000003259	 0.183530000	 0.022165154  FX
========================================================================
002_T7_C5_D18_VM3.txt	 3	 0.487031787633896	 0.153236	 0.000028	 4.247806
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 1	 0.000000746	 0.144391020	 0.016451127  VM
1	 3	 0.000004432	 0.214443322	 0.026237658  VM
9	 1	 0.000001581	 0.305914694	 0.034854255  VM
10	 1	 0.000002306	 0.446277720	 0.050846454  VM
12	 1	 0.000007426	 1.437177147	 0.163744141  VM
11	 1	 0.000007834	 1.516072067	 0.172732998  VM
13	 4	 0.000003259	 0.183530000	 0.022165154  FX
========================================================================
002_T7_C5_D18_VM3.txt	 4	 0.485226631164551	 0.154864	 0.000024	 4.247806
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 1	 0.000000746	 0.144391020	 0.016451127  VM
1	 1	 0.000001108	 0.214443322	 0.024432505  VM
9	 1	 0.000001581	 0.305914694	 0.034854255  VM
10	 1	 0.000002306	 0.446277720	 0.050846454  VM
11	 1	 0.000007834	 1.516072067	 0.172732998  VM
12	 1	 0.000007426	 1.437177147	 0.163744141  VM
13	 4	 0.000003259	 0.183530000	 0.022165154  FX
========================================================================
002_T7_C5_D18_VM3.txt	 5	 0.489017248153687	 0.152666	 0.000031	 4.247806
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 3	 0.000002984	 0.144391020	 0.017666590  VM
1	 1	 0.000001108	 0.214443322	 0.024432505  VM
9	 3	 0.000006323	 0.305914694	 0.037429401  VM
10	 1	 0.000002306	 0.446277720	 0.050846454  VM
12	 1	 0.000007426	 1.437177147	 0.163744141  VM
11	 1	 0.000007834	 1.516072067	 0.172732998  VM
13	 4	 0.000003259	 0.183530000	 0.022165154  FX
========================================================================
002_T7_C5_D18_VM3.txt	 6	 0.486441999673843	 0.153709	 0.000026	 4.247806
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 4	 0.000002984	 0.144391020	 0.017666482  VM
1	 1	 0.000001108	 0.214443322	 0.024432505  VM
9	 1	 0.000001581	 0.305914694	 0.034854255  VM
10	 1	 0.000002306	 0.446277720	 0.050846454  VM
11	 1	 0.000007834	 1.516072067	 0.172732998  VM
12	 1	 0.000007426	 1.437177147	 0.163744141  VM
13	 4	 0.000003259	 0.183530000	 0.022165154  FX
========================================================================
002_T7_C5_D18_VM3.txt	 7	 0.486758887767792	 0.152929	 0.000023	 4.268236
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 1	 0.000000746	 0.144391020	 0.016451127  VM
1	 1	 0.000001108	 0.214443322	 0.024432505  VM
9	 1	 0.000001581	 0.305914694	 0.034854255  VM
10	 1	 0.000002306	 0.446277720	 0.050846454  VM
12	 1	 0.000007426	 1.437177147	 0.163744141  VM
11	 1	 0.000007834	 1.516072067	 0.172732998  VM
13	 3	 0.000001900	 0.203960000	 0.023697411  FX
========================================================================
002_T7_C5_D18_VM3.txt	 8	 0.487080395221710	 0.153500	 0.000028	 4.247806
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 1	 0.000000746	 0.144391020	 0.016451127  VM
1	 2	 0.000002216	 0.214443322	 0.025034164  VM
9	 1	 0.000001581	 0.305914694	 0.034854255  VM
10	 2	 0.000004612	 0.446277720	 0.052098567  VM
11	 1	 0.000007834	 1.516072067	 0.172732998  VM
12	 1	 0.000007426	 1.437177147	 0.163744141  VM
13	 4	 0.000003259	 0.183530000	 0.022165154  FX
========================================================================
002_T7_C5_D18_VM3.txt	 9	 0.486478745937347	 0.151557	 0.000027	 4.247806
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 1	 0.000000746	 0.144391020	 0.016451127  VM
1	 1	 0.000001108	 0.214443322	 0.024432505  VM
9	 1	 0.000001581	 0.305914694	 0.034854255  VM
10	 2	 0.000004612	 0.446277720	 0.052098567  VM
12	 1	 0.000007426	 1.437177147	 0.163744141  VM
11	 1	 0.000007834	 1.516072067	 0.172732998  VM
13	 4	 0.000003259	 0.183530000	 0.022165154  FX
========================================================================
002_T7_C5_D18_VM3.txt	 10	 0.487360537052155	 0.150580	 0.000024	 4.268236
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 1	 0.000000746	 0.144391020	 0.016451127  VM
1	 2	 0.000002216	 0.214443322	 0.025034164  VM
9	 1	 0.000001581	 0.305914694	 0.034854255  VM
10	 1	 0.000002306	 0.446277720	 0.050846454  VM
11	 1	 0.000007834	 1.516072067	 0.172732998  VM
12	 1	 0.000007426	 1.437177147	 0.163744141  VM
13	 3	 0.000001900	 0.203960000	 0.023697411  FX
========================================================================
