<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
002_T7_C5_D18_VM3.txt	 1	 0.236115083098412	 0.145591	 0.000019	 7.114606
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1	 1	 0.000001108	 0.214443322	 0.012686887  VM
9	 1	 0.000001333	 0.543970000	 0.016938319  FX
2	 2	 0.000001492	 0.144391020	 0.016239641  VM
10	 1	 0.000002306	 0.446277720	 0.026402664  VM
11	 1	 0.000005930	 2.750632027	 0.077278923  FX
12	 1	 0.000005623	 2.602962027	 0.073240925  FX
13	 1	 0.000001058	 0.411930000	 0.013327719  FX
========================================================================
002_T7_C5_D18_VM3.txt	 2	 0.228417888283730	 0.149378	 0.000018	 7.114606
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1	 1	 0.000001108	 0.214443322	 0.012686887  VM
2	 1	 0.000000746	 0.144391020	 0.008542456  VM
10	 1	 0.000002306	 0.446277720	 0.026402664  VM
9	 1	 0.000001333	 0.543970000	 0.016938319  FX
11	 1	 0.000005930	 2.750632027	 0.077278923  FX
12	 1	 0.000005623	 2.602962027	 0.073240925  FX
13	 1	 0.000001058	 0.411930000	 0.013327719  FX
========================================================================
002_T7_C5_D18_VM3.txt	 3	 0.230968967080116	 0.148380	 0.000018	 7.825755
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1	 1	 0.000001421	 0.586310000	 0.018096095  FX
9	 1	 0.000001333	 0.543970000	 0.016938319  FX
2	 1	 0.000000746	 0.144391020	 0.008542456  VM
10	 1	 0.000001837	 0.785560000	 0.023544535  FX
11	 1	 0.000005930	 2.750632027	 0.077278923  FX
12	 1	 0.000005623	 2.602962027	 0.073240925  FX
13	 1	 0.000001058	 0.411930000	 0.013327719  FX
========================================================================
002_T7_C5_D18_VM3.txt	 4	 0.237345054745674	 0.146754	 0.000019	 6.288104
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
2	 1	 0.000000746	 0.144391020	 0.008542456  VM
1	 1	 0.000001108	 0.214443322	 0.012686887  VM
9	 1	 0.000001333	 0.543970000	 0.016938319  FX
10	 1	 0.000001837	 0.785560000	 0.023544535  FX
12	 1	 0.000007426	 1.437177147	 0.085026216  VM
11	 1	 0.000005930	 2.750632027	 0.077278923  FX
13	 1	 0.000001058	 0.411930000	 0.013327719  FX
========================================================================
002_T7_C5_D18_VM3.txt	 5	 0.230491831898689	 0.147298	 0.000018	 7.209128
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1	 1	 0.000001108	 0.214443322	 0.012686887  VM
9	 1	 0.000001333	 0.543970000	 0.016938319  FX
2	 1	 0.000000746	 0.144391020	 0.008542456  VM
10	 2	 0.000002453	 0.540800000	 0.028476601  FX
12	 1	 0.000005623	 2.602962027	 0.073240925  FX
11	 1	 0.000005930	 2.750632027	 0.077278923  FX
13	 1	 0.000001058	 0.411930000	 0.013327719  FX
========================================================================
002_T7_C5_D18_VM3.txt	 6	 0.230976969003677	 0.148356	 0.000018	 6.971207
